# version: 1.0
term,kind,note
に似,pattern,活用対応(似ている/似た/似る)
を思わせ,pattern,
を想わせ,pattern,
を偲ばせ,pattern,
のよう,pattern,直喩
の如く,pattern,
の如き,pattern,
ごとく,pattern,
ごとき,pattern,
髣髴,marker,
比較,marker,
対比,marker,
連想,marker,
ギリシア,foreign_ref,
ギリシャ,foreign_ref,
希臘,foreign_ref,
ゴシック,foreign_ref,
ルネッサンス,foreign_ref,
ロダン,foreign_ref,
ガンダーラ,foreign_ref,
ガンダラ,foreign_ref,堀の表記
エジプト,foreign_ref,
埃及,foreign_ref,
ペルシア,foreign_ref,
ビザンチン,foreign_ref,
パルテノン,foreign_ref,
ミケランジェロ,foreign_ref,
支那,foreign_ref,当時表記のまま(引用の歴史性)
六朝,foreign_ref,
西域,foreign_ref,
唐代,foreign_ref,単字「唐」は唐招提寺と衝突するため不採用
初唐,foreign_ref,
盛唐,foreign_ref,
印度,foreign_ref,
インド,foreign_ref,
西洋,foreign_ref,
